[00:08] タイトル表示
[00:09] ゲーム開始(新規)
[00:10] 目標: tut_move
[00:12] 目標: q_wood_offer
[00:14] 目標: q_wood_gather
hb 30s pos=(-7.1,-7.0) obj=q_wood_gather hour=18.8
hb 50s pos=(-13.4,-9.6) obj=q_wood_gather hour=19.0
hb 70s pos=(-15.6,-10.2) obj=q_wood_gather hour=19.2
hb 90s pos=(-18.3,-7.4) obj=q_wood_gather hour=19.4
[01:40] はじめての採取
hb 110s pos=(-23.7,-4.2) obj=q_wood_gather hour=19.6
[02:06] はじめての夜(発光を確認)
hb 130s pos=(-29.0,-5.1) obj=q_wood_gather hour=19.8
hb 150s pos=(-23.8,1.6) obj=q_wood_gather hour=20.1
hb 170s pos=(-19.6,7.3) obj=q_wood_gather hour=20.3
hb 190s pos=(-23.8,12.6) obj=q_wood_gather hour=20.5
hb 210s pos=(-14.9,9.5) obj=q_wood_gather hour=20.7
hb 230s pos=(-11.6,3.8) obj=q_wood_gather hour=20.9
hb 250s pos=(-9.0,3.5) obj=q_wood_gather hour=21.1
hb 270s pos=(-15.4,1.0) obj=q_wood_gather hour=21.4
hb 290s pos=(-14.2,-5.9) obj=q_wood_gather hour=21.6
hb 310s pos=(-18.8,-6.7) obj=q_wood_gather hour=21.8
[05:13] 目標: q_wood_report
hb 330s pos=(-13.7,-6.2) obj=q_wood_report hour=22.0
hb 350s pos=(-2.1,-4.4) obj=q_wood_report hour=22.2
hb 370s pos=(-2.1,-0.7) obj=q_wood_report hour=22.4
[06:24] 目標: q_fish_offer
hb 390s pos=(-4.9,0.4) obj=q_fish_offer hour=22.5
hb 410s pos=(-10.4,3.5) obj=q_fish_offer hour=22.8
hb 430s pos=(-17.4,3.2) obj=q_fish_offer hour=23.0
hb 450s pos=(-21.2,2.0) obj=q_fish_offer hour=23.2
hb 470s pos=(-14.9,-0.6) obj=q_fish_offer hour=23.4
hb 490s pos=(-12.8,-4.5) obj=q_fish_offer hour=23.6
hb 510s pos=(-9.0,-7.8) obj=q_fish_offer hour=23.8
hb 530s pos=(-1.0,-5.8) obj=q_fish_offer hour=0.1
hb 550s pos=(12.3,0.8) obj=q_fish_offer hour=0.3
hb 570s pos=(24.9,7.4) obj=q_fish_offer hour=0.5
[09:50] 目標: q_fish_mats_wood
hb 590s pos=(24.5,11.7) obj=q_fish_mats_wood hour=0.7
hb 610s pos=(28.8,14.9) obj=q_fish_mats_wood hour=0.9
hb 630s pos=(29.4,17.3) obj=q_fish_mats_wood hour=1.1
hb 650s pos=(28.4,16.9) obj=q_fish_mats_wood hour=1.3
hb 670s pos=(28.2,17.2) obj=q_fish_mats_wood hour=1.6
hb 690s pos=(28.7,18.2) obj=q_fish_mats_wood hour=1.8
hb 710s pos=(29.0,17.2) obj=q_fish_mats_wood hour=2.0
hb 730s pos=(28.1,16.8) obj=q_fish_mats_wood hour=2.2
hb 756s pos=(28.0,16.9) obj=q_fish_mats_wood hour=2.4
hb 771s pos=(29.2,17.5) obj=q_fish_mats_wood hour=2.5
hb 791s pos=(28.6,17.0) obj=q_fish_mats_wood hour=2.7
hb 811s pos=(28.6,17.5) obj=q_fish_mats_wood hour=3.0
hb 831s pos=(27.9,16.9) obj=q_fish_mats_wood hour=3.3
hb 851s pos=(29.9,16.8) obj=q_fish_mats_wood hour=3.5
hb 871s pos=(29.0,16.4) obj=q_fish_mats_wood hour=3.7
hb 891s pos=(28.9,17.8) obj=q_fish_mats_wood hour=3.9
hb 911s pos=(29.3,17.4) obj=q_fish_mats_wood hour=4.1
hb 931s pos=(28.4,17.6) obj=q_fish_mats_wood hour=4.3
hb 951s pos=(28.3,17.1) obj=q_fish_mats_wood hour=4.6
hb 971s pos=(29.2,17.6) obj=q_fish_mats_wood hour=4.7
hb 991s pos=(28.9,16.9) obj=q_fish_mats_wood hour=4.9
hb 1011s pos=(27.9,16.6) obj=q_fish_mats_wood hour=5.1
hb 1031s pos=(29.0,16.8) obj=q_fish_mats_wood hour=5.4
hb 1051s pos=(28.0,17.1) obj=q_fish_mats_wood hour=5.6
hb 1071s pos=(28.5,17.4) obj=q_fish_mats_wood hour=5.8
hb 1091s pos=(28.2,17.1) obj=q_fish_mats_wood hour=6.0
hb 1111s pos=(28.6,17.0) obj=q_fish_mats_wood hour=6.2
hb 1131s pos=(29.2,17.2) obj=q_fish_mats_wood hour=6.4
hb 1152s pos=(28.8,17.6) obj=q_fish_mats_wood hour=6.5
hb 1171s pos=(28.2,16.4) obj=q_fish_mats_wood hour=6.7
hb 1191s pos=(28.0,16.9) obj=q_fish_mats_wood hour=6.9
hb 1211s pos=(27.8,16.7) obj=q_fish_mats_wood hour=7.1
hb 1231s pos=(29.1,17.4) obj=q_fish_mats_wood hour=7.4
hb 1251s pos=(28.7,17.5) obj=q_fish_mats_wood hour=7.6
BOT FAILED: watchdog: 目標 q_fish_mats_wood が10分間進まない
